RID,SCENARIO,Choice_set,alt,CHOICE,x1,x2,x3,x4,choice_biogeme
5,1,1,1,0,6.0,0.8,0.5,10,2
5,1,1,2,1,1.7,5.5,1.0,5,2
5,1,1,3,0,6.0,3.6,0.2,0,2
5,1,1,4,0,0.0,0.0,0.0,0,2
5,2,2,1,0,6.0,3.6,0.5,5,3
5,2,2,2,0,4.5,0.8,1.0,0,3
5,2,2,3,1,1.7,3.6,0.2,10,3
5,2,2,4,0,0.0,0.0,0.0,0,3
5,3,3,1,0,1.7,5.5,0.2,5,3
5,3,3,2,0,6.0,1.8,1.0,5,3
5,3,3,3,1,3.0,1.8,0.5,5,3
5,3,3,4,0,0.0,0.0,0.0,0,3
5,4,4,1,1,3.0,1.8,1.0,10,1
5,4,4,2,0,1.7,5.5,0.2,0,1
5,4,4,3,0,6.0,1.8,0.5,5,1
5,4,4,4,0,0.0,0.0,0.0,0,1
5,5,5,1,1,4.5,1.8,0.5,0,1
5,5,5,2,0,3.0,5.5,0.2,10,1
5,5,5,3,0,4.5,1.8,1.0,5,1
5,5,5,4,0,0.0,0.0,0.0,0,1
5,6,6,1,0,3.0,3.6,0.2,0,2
5,6,6,2,1,3.0,0.8,0.5,10,2
5,6,6,3,0,6.0,3.6,1.0,5,2
5,6,6,4,0,0.0,0.0,0.0,0,2
21,1,7,1,0,3.0,5.5,1.0,10,3
21,1,7,2,0,4.5,1.8,0.5,5,3
21,1,7,3,1,4.5,0.8,0.2,0,3
21,1,7,4,0,0.0,0.0,0.0,0,3
21,2,8,1,0,6.0,0.8,1.0,5,2
21,2,8,2,1,3.0,3.6,0.2,0,2
21,2,8,3,0,3.0,5.5,0.5,10,2
21,2,8,4,0,0.0,0.0,0.0,0,2
21,3,9,1,0,3.0,5.5,0.5,5,2
21,3,9,2,1,4.5,3.6,0.2,0,2
21,3,9,3,0,3.0,0.8,1.0,10,2
21,3,9,4,0,0.0,0.0,0.0,0,2
21,4,10,1,0,6.0,1.8,0.5,0,3
21,4,10,2,0,3.0,1.8,0.2,10,3
21,4,10,3,1,3.0,5.5,1.0,5,3
21,4,10,4,0,0.0,0.0,0.0,0,3
21,5,11,1,0,6.0,3.6,1.0,5,3
